Dateadded,Malware,Host,IP address,Level,Status,Files Online,SBL,Country,AS number,Uptime
2012-02-09,ZeuS,188.247.135.99,188.247.135.99,4,unknown,0,SBL117319,-, ,-
2012-02-02,ZeuS,188.247.135.53,188.247.135.53,4,unknown,0,SBL117319,-, ,-
2012-02-02,ZeuS,188.247.135.74,188.247.135.74,4,unknown,0,SBL117319,-, ,-
2012-01-29,ZeuS,89.46.251.146,89.46.251.146,4,unknown,0,SBL131118,-,AS34201,-
2012-01-28,ZeuS,89.46.251.158,89.46.251.158,4,unknown,0,SBL131118,-,AS34201,-
2012-01-17,ZeuS,216.176.100.240,216.176.100.240,4,unknown,0,SBL126432,-,AS14574,-
2012-01-16,ZeuS,151.97.190.239,151.97.190.239,4,unknown,0,SBL126259,-,AS137,-
2012-01-16,ZeuS,188.247.135.58,188.247.135.58,4,unknown,0,SBL117319,-, ,-
2012-01-12,ZeuS,89.46.251.169,89.46.251.169,4,unknown,0,SBL131118,-,AS34201,-
2011-10-30,ZeuS,188.219.154.228,188.219.154.228,4,unknown,0,SBL120164,-,AS30722,-
2011-10-16,ZeuS,216.215.112.149,216.215.112.149,4,unknown,0,SBL119189,-,AS11215,-
2011-07-26,ZeuS,210.211.108.215,210.211.108.215,4,unknown,0,SBL114874,-,AS38731,-
2011-05-12,ZeuS,109.127.8.242,109.127.8.242,4,unknown,0,SBL116305,-,AS50274,-
