First seen (UTC),Version,Feodo C&C,Status,SBL,ASN,Country,Last seen (UTC)
6/1/2015 11:36,D,146.185.128.226,offline,SBL258279,AS46652 SERVERSTACK-ASN,NL,6/26/2015 9:06
6/1/2015 11:36,D,134.184.18.160,offline,SBL258445,AS2611 BELNET,BE,6/4/2015 8:22
5/29/2015 15:09,D,178.32.53.123,offline,SBL258028,AS16276 OVH,GB,never
5/29/2015 15:05,D,80.52.222.10,offline,SBL258088,AS5617 TPNET,PL,5/31/2015 9:07
5/29/2015 15:05,D,62.240.61.45,offline,SBL258251,"AS21003 GPTC-AS,LY",LY,6/4/2015 8:28
5/29/2015 12:37,C,31.200.244.17,offline,Not listed,,ES,6/16/2015 22:17
5/29/2015 11:40,D,134.0.115.157,offline,Not listed,AS39134 UNITEDNET,RU,never
5/29/2015 2:48,C,217.26.209.10,offline,Not listed,AS198894 EUNET-AS,RS,6/4/2015 7:06
5/27/2015 20:48,D,151.97.80.16,offline,SBL257881,AS137 ASGARR,IT,6/7/2015 15:39
5/27/2015 10:28,D,144.76.238.214,offline,SBL258252,AS24940 HETZNER-AS,DE,6/1/2015 11:36
5/27/2015 7:50,C,104.236.94.91,offline,Not listed,AS393406 DIGITALOCEAN-ASN-NY3,,5/27/2015 11:04
5/27/2015 4:44,D,216.119.147.87,offline,SBL257889,AS32780 HOSTINGSERVICES-INC,US,6/12/2015 17:04
5/27/2015 4:44,D,95.163.121.137,offline,SBL257890,AS12695 DINET-AS,RU,6/5/2015 19:55
5/25/2015 19:56,C,106.187.49.59,offline,Not listed,AS2516 KDDI,JP,5/28/2015 8:21
5/23/2015 15:41,C,91.121.222.31,offline,Not listed,AS16276 OVH,FR,5/24/2015 18:04
5/22/2015 10:03,C,208.95.104.92,offline,SBL257302,AS32915 KATTARE,US,never
5/22/2015 6:22,D,210.180.43.94,offline,SBL257880,AS4663 ELIMNET-AS,KR,6/4/2015 12:58
5/21/2015 20:18,D,210.90.190.75,offline,SBL257292,AS4766 KIXS-AS-KR,KR,5/27/2015 23:43
5/21/2015 20:18,D,78.47.182.222,offline,SBL257275,AS24940 HETZNER-AS,DE,5/29/2015 15:09
5/21/2015 15:35,D,78.46.60.131,offline,SBL257231,AS24940 HETZNER-AS,DE,5/28/2015 8:18
5/21/2015 15:35,D,176.31.28.250,offline,Not listed,AS16276 OVH,FR,6/1/2015 11:36
5/19/2015 17:04,C,61.19.253.26,offline,Not listed,AS9931 CAT-AP,TH,6/9/2015 0:10
5/19/2015 17:04,C,62.210.214.106,offline,Not listed,AS12876 AS12876,FR,5/27/2015 21:19
5/18/2015 22:30,C,212.71.255.90,offline,Not listed,AS15830 TELECITY-LON,GB,5/22/2015 8:22
5/18/2015 14:14,C,94.176.2.170,offline,Not listed,AS61030 ASTIMP-AS,RO,never
5/18/2015 12:59,D,185.15.185.201,offline,SBL256992,AS197252 ,DE,7/17/2015 18:47
5/18/2015 12:59,D,209.88.157.162,offline,SBL258489,AS1680 NV-ASN,IL,6/4/2015 8:22
5/18/2015 10:29,C,188.165.209.149,offline,Not listed,AS16276 OVH,FR,5/19/2015 14:30
5/18/2015 8:04,C,200.159.128.189,offline,SBL256952,AS27688 Novanet,BR,8/11/2015 2:18
5/18/2015 4:19,C,94.176.2.168,offline,Not listed,AS61030 ASTIMP-AS,RO,never
5/16/2015 19:13,D,31.24.30.31,offline,Not listed,AS39701 SKYLINE-AS,RU,5/29/2015 11:40
5/16/2015 19:13,D,151.236.216.254,offline,SBL256776,AS15830 TELECITY-LON,GB,never
5/16/2015 10:11,D,118.69.201.20,offline,SBL256735,AS18403 FPT-AS-AP,VN,6/5/2015 11:43
5/14/2015 21:18,C,46.32.233.226,offline,Not listed,AS20738 AS20738,GB,6/2/2015 23:18
5/14/2015 21:18,C,217.147.92.111,offline,Not listed,AS20860 IOMART-AS,GB,5/15/2015 13:30
5/14/2015 14:41,D,185.91.175.5,offline,SBL256648,AS42632 MNOGOBYTE-AS,RU,5/15/2015 11:23
5/14/2015 14:35,D,2.50.11.28,offline,SBL256647,AS5384 EMIRATES-INTERNET,AE,5/16/2015 10:11
5/14/2015 7:01,C,95.138.160.145,offline,Not listed,AS15395 Rackspace,GB,5/15/2015 13:30
5/14/2015 4:31,C,76.74.252.88,offline,Not listed,AS13768 PEER1,US,5/20/2015 13:51
5/13/2015 17:17,C,103.16.26.228,offline,Not listed,AS132597 SERVERWORKS-AS,KR,never
5/13/2015 13:37,D,143.239.220.72,offline,SBL256811,AS1213 HEANET,IE,5/16/2015 19:13
5/13/2015 13:37,D,78.47.182.219,offline,SBL256646,AS24940 HETZNER-AS,DE,5/22/2015 6:22
5/13/2015 12:14,D,131.111.216.180,offline,SBL257206,AS786 JANET,GB,never
5/13/2015 7:11,C,173.230.130.252,offline,Not listed,AS3595 GNAXNET-AS,US,5/13/2015 19:47
5/13/2015 7:11,C,103.16.26.36,offline,Not listed,AS132597 SERVERWORKS-AS,KR,never
5/13/2015 7:11,C,42.62.40.103,offline,SBL256203,AS4808 CHINA169-BJ,CN,8/11/2015 2:18
5/12/2015 17:25,C,94.126.171.85,offline,Not listed,AS33876 FLESK-AS,PT,5/14/2015 8:32
5/12/2015 16:10,D,37.143.15.116,offline,SBL256645,AS42244 ESERVER,RU,6/7/2015 15:55
5/12/2015 3:37,C,200.75.7.92,offline,SBL256204,AS14259 Gtd,CL,6/19/2015 2:51
5/11/2015 0:08,D,5.63.159.90,offline,Not listed,AS39134 UNITEDNET,RU,8/31/2015 11:52
5/10/2015 14:32,D,129.194.101.164,offline,SBL256908,AS559 SWITCH,CH,5/18/2015 16:39
5/7/2015 22:47,D,129.194.92.158,offline,Not listed,AS559 SWITCH,CH,5/11/2015 12:23
5/7/2015 5:09,C,121.50.46.81,offline,SBL255791,AS2497 IIJ,JP,5/11/2015 10:36
5/5/2015 2:29,D,212.227.89.182,offline,SBL256644,AS8560 ONEANDONE-AS,DE,5/28/2015 2:42
5/5/2015 0:52,D,95.163.121.138,offline,SBL256643,AS12695 DINET-AS,RU,5/22/2015 6:22
5/1/2015 13:43,D,194.28.87.125,offline,SBL257891,AS21219 DATAGROUP,UA,8/31/2015 11:52
5/1/2015 9:44,D,87.117.229.29,offline,Not listed,AS20860 IOMART-AS,GB,6/9/2015 0:15
4/27/2015 16:55,D,5.45.123.152,offline,Not listed,AS198068 FASTNET,EE,5/1/2015 9:44
4/27/2015 7:03,D,149.132.68.139,offline,SBL256490,AS137 ASGARR,IT,5/21/2015 15:35
4/26/2015 18:04,D,149.154.64.70,offline,SBL256641,AS29182 ISPSYSTEM-AS,RU,6/19/2015 15:39
4/24/2015 6:29,D,185.12.95.191,offline,SBL257152,AS49189 RUWEB,RU,7/17/2015 18:47
4/18/2015 5:05,D,82.146.58.216,offline,SBL256649,AS29182 ISPSYSTEM-AS,RU,6/9/2015 12:02
4/17/2015 1:52,D,213.138.124.13,offline,SBL256491,AS35425 BYTEMARK-AS,GB,5/27/2015 23:43
4/17/2015 0:35,D,128.199.116.111,offline,Not listed,AS133165 DIGITALOCEAN-AS-AP,SG,7/8/2015 2:15
4/17/2015 0:35,D,185.66.70.45,offline,SBL256965,AS12406 BN-AS,,6/9/2015 12:02
4/16/2015 18:06,D,64.58.156.132,offline,SBL264566,AS22773 ASN-CXA-ALL-CCI-22773-RDC,US,8/20/2015 7:48
